Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Alabama,Talladega County,Female Breast,Female,120.2,314,209466
Alabama,Autauga County,Female Breast,Female,142.3,237,140755
Alabama,Greene County,Female Breast,Female,138.3,46,22715
Alabama,Geneva County,Female Breast,Female,128.9,123,68059
Mississippi,Smith County,Female Breast,Female,82.6,46,41804
Mississippi,Kemper County,Female Breast,Female,86.6,31,25529
Mississippi,Union County,Female Breast,Female,91.4,76,71442
Mississippi,Choctaw County,Female Breast,Female,88.2,27,21513
Mississippi,Noxubee County,Female Breast,Female,92.2,33,28800
Mississippi,Carroll County,Female Breast,Female,86.9,31,25469
Mississippi,Tate County,Female Breast,Female,99.5,85,73375
Mississippi,Lincoln County,Female Breast,Female,97.7,107,90299
Mississippi,Quitman County,Female Breast,Female,100.4,25,20021
Mississippi,Lauderdale County,Female Breast,Female,100.7,245,203970
Mississippi,Neshoba County,Female Breast,Female,97.1,83,77141
Mississippi,Newton County,Female Breast,Female,94.1,65,55834
Mississippi,Perry County,Female Breast,Female,93.6,36,30761
Mississippi,Franklin County,Female Breast,Female,92.4,26,19948
Mississippi,Tunica County,Female Breast,Female,103.4,28,27361
Mississippi,Warren County,Female Breast,Female,110.7,163,125200
Mississippi,Wilkinson County,Female Breast,Female,102.1,28,21617
Mississippi,Scott County,Female Breast,Female,111.3,90,72762
Mississippi,Prentiss County,Female Breast,Female,101.7,83,64785
Mississippi,Simpson County,Female Breast,Female,108.5,95,70072
Mississippi,Amite County,Female Breast,Female,111.9,53,32538
Mississippi,Clarke County,Female Breast,Female,109.4,61,42673
Mississippi,Hancock County,Female Breast,Female,103.8,162,116684
Mississippi,Panola County,Female Breast,Female,103.4,105,88651
Mississippi,Clay County,Female Breast,Female,112.4,70,53317
Mississippi,Marion County,Female Breast,Female,110.9,94,66527
Mississippi,Attala County,Female Breast,Female,103.8,65,49549
Mississippi,Pontotoc County,Female Breast,Female,113.7,104,78181
Mississippi,George County,Female Breast,Female,109.3,72,57561
Mississippi,DeSoto County,Female Breast,Female,112.3,532,440324
Mississippi,Lowndes County,Female Breast,Female,122,218,155980
Mississippi,Washington County,Female Breast,Female,123.4,185,129639
Mississippi,Wayne County,Female Breast,Female,127.4,81,53145
Mississippi,Winston County,Female Breast,Female,120.6,74,47809
Mississippi,Lee County,Female Breast,Female,121.9,311,220611
Mississippi,Leake County,Female Breast,Female,124.9,81,55674
