Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Virginia,Manassas City,Female Breast,Female,120.6,115,102600
Virginia,Alleghany Cnty and Clifton Forge Cty,Female Breast,Female,120.3,74,39904
Virginia,Fairfax County,Female Breast,Female,124.3,3969,2870029
Virginia,Prince William County,Female Breast,Female,115.6,1212,1114181
Virginia,Bedford City and County,Female Breast,Female,122.1,349,194918
Virginia,Alexandria City,Female Breast,Female,115.9,474,394043
Virginia,Spotsylvania County,Female Breast,Female,122.1,449,327462
Virginia,Accomack County,Female Breast,Female,117,146,84479
Virginia,Portsmouth City,Female Breast,Female,140.1,394,248920
Virginia,Richmond City,Female Breast,Female,127.3,749,571334
Virginia,Bath County,Female Breast,Female,142.2,28,11238
Virginia,Augusta County,Female Breast,Female,129.2,330,183005
Virginia,Lynchburg City,Female Breast,Female,127.9,263,208309
Virginia,Winchester City,Female Breast,Female,140,110,69422
Virginia,Norton City,Female Breast,Female,Data Suppressed,Data Suppressed,10691
Virginia,Petersburg City,Female Breast,Female,145.1,164,86283
Virginia,Staunton City,Female Breast,Female,143.6,131,66168
Virginia,Waynesboro City,Female Breast,Female,141.1,102,55992
Virginia,James City County,Female Breast,Female,140.6,385,185804
Virginia,York County,Female Breast,Female,137.4,282,169544
Virginia,Norfolk City,Female Breast,Female,134.8,799,588667
Virginia,Poquoson City,Female Breast,Female,155,66,30423
Virginia,Newport News City,Female Breast,Female,139.6,680,466493
Virginia,Salem City,Female Breast,Female,142.8,127,66469
Virginia,Arlington County,Female Breast,Female,131.9,700,568779
Virginia,Williamsburg City,Female Breast,Female,185.2,68,39373
Virginia,Appomattox County,Female Breast,Female,136.7,75,39536
Virginia,Albemarle County,Female Breast,Female,140.3,468,270770
Virginia,Botetourt County,Female Breast,Female,134.8,159,83676
Virginia,Suffolk City,Female Breast,Female,152.4,394,225059
Virginia,Virginia Beach City,Female Breast,Female,146.5,1858,1141663
Virginia,Martinsville City,Female Breast,Female,135.1,69,36214
Virginia,Fairfax City,Female Breast,Female,138.1,96,58894
Virginia,Rockingham County,Female Breast,Female,131,336,198733
Virginia,Falls Church City,Female Breast,Female,124.1,47,34432
Virginia,Charlotte County,Female Breast,Female,119.2,57,31001
Virginia,Dinwiddie County,Female Breast,Female,133.6,118,71714
Virginia,Fluvanna County,Female Breast,Female,150.3,139,70659
Virginia,Goochland County,Female Breast,Female,129.1,102,55471
Virginia,Franklin County,Female Breast,Female,122.1,255,142692
Virginia,Greensville County,Female Breast,Female,124.7,40,22159
Virginia,Culpeper County,Female Breast,Female,120.9,171,122376
Virginia,Henrico County,Female Breast,Female,139.6,1395,847852
